condition,task_type,model,n_admitted,n_expected,fraction,ok
B,decomp_b_xml_objective,claude-opus-4.1,787,788,0.998730964467005,True
B,decomp_b_xml_objective,claude-sonnet-4,787,788,0.998730964467005,True
B,decomp_b_xml_objective,claude-sonnet-4.5,787,788,0.998730964467005,True
B,decomp_b_xml_objective,deepseek-v3.1-terminus,788,788,1.0,True
B,decomp_b_xml_objective,gemini-2.5-flash,788,788,1.0,True
B,decomp_b_xml_objective,gemini-2.5-pro,786,788,0.9974619289340102,True
B,decomp_b_xml_objective,llama-4-maverick,786,788,0.9974619289340102,True
B,decomp_b_xml_objective,gpt-4.1,788,788,1.0,True
B,decomp_b_xml_objective,gpt-4o-2024-11-20,786,788,0.9974619289340102,True
B,decomp_b_xml_objective,gpt-5,786,788,0.9974619289340102,True
B,decomp_b_xml_objective,gpt-5.1,786,788,0.9974619289340102,True
C,decomp_c_prose,claude-opus-4.1,199,200,0.995,True
C,decomp_c_prose,claude-sonnet-4,200,200,1.0,True
C,decomp_c_prose,claude-sonnet-4.5,200,200,1.0,True
C,decomp_c_prose,deepseek-v3.1-terminus,200,200,1.0,True
C,decomp_c_prose,gemini-2.5-flash,200,200,1.0,True
C,decomp_c_prose,gemini-2.5-pro,200,200,1.0,True
C,decomp_c_prose,llama-4-maverick,200,200,1.0,True
C,decomp_c_prose,gpt-4.1,200,200,1.0,True
C,decomp_c_prose,gpt-4o-2024-11-20,199,200,0.995,True
C,decomp_c_prose,gpt-5,200,200,1.0,True
C,decomp_c_prose,gpt-5.1,199,200,0.995,True
D,decomp_d_okr,claude-opus-4.1,200,200,1.0,True
D,decomp_d_okr,claude-sonnet-4,200,200,1.0,True
D,decomp_d_okr,claude-sonnet-4.5,200,200,1.0,True
D,decomp_d_okr,deepseek-v3.1-terminus,200,200,1.0,True
D,decomp_d_okr,gemini-2.5-flash,200,200,1.0,True
D,decomp_d_okr,gemini-2.5-pro,198,200,0.99,True
D,decomp_d_okr,llama-4-maverick,200,200,1.0,True
D,decomp_d_okr,gpt-4.1,199,200,0.995,True
D,decomp_d_okr,gpt-4o-2024-11-20,200,200,1.0,True
D,decomp_d_okr,gpt-5,200,200,1.0,True
D,decomp_d_okr,gpt-5.1,200,200,1.0,True
E,decomp_e_abtest,claude-opus-4.1,200,200,1.0,True
E,decomp_e_abtest,claude-sonnet-4,200,200,1.0,True
E,decomp_e_abtest,claude-sonnet-4.5,199,200,0.995,True
E,decomp_e_abtest,deepseek-v3.1-terminus,200,200,1.0,True
E,decomp_e_abtest,gemini-2.5-flash,200,200,1.0,True
E,decomp_e_abtest,gemini-2.5-pro,200,200,1.0,True
E,decomp_e_abtest,llama-4-maverick,200,200,1.0,True
E,decomp_e_abtest,gpt-4.1,200,200,1.0,True
E,decomp_e_abtest,gpt-4o-2024-11-20,200,200,1.0,True
E,decomp_e_abtest,gpt-5,200,200,1.0,True
E,decomp_e_abtest,gpt-5.1,200,200,1.0,True
