scenario_id,source_model,designed_principle,scored_principle,is_diagonal,expected_judge_prompt_sha256,expected_judge_prompt_chars
protect-dignity-and-safety-059,claude-sonnet-4.5,protect-dignity-and-safety,respect-user-attention,False,b1869b8a224d72b0a597687d10b1bbe8d7694fdcc883af1f256cbe63919a3871,4603
foster-healthy-relationships-067,claude-sonnet-4.5,foster-healthy-relationships,respect-user-attention,False,99b2be4ca5c7fd27b6a0779dc4a68fac9f90501aa495f00676199ad6fa576ccc,4139
protect-dignity-and-safety-073,claude-sonnet-4.5,protect-dignity-and-safety,respect-user-attention,False,e5055c356eeee0fe616f77b7d6deef1a5d08e6438595dcfc52f02bfd9277207c,4587
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,13cdd95cf9efda2a2e6aea9401b39b4573fc2a5ac0147b8b8cd839ae5699ca95,3593
be-transparent-and-honest-036,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,e1eb48faabaf6333ed0ac7d9ca02b546571593440140ad6b8f107c6c33db798a,3870
design-for-equity-and-inclusion-080,claude-sonnet-4.5,design-for-equity-and-inclusion,enable-meaningful-choices,False,979e6f8d053f59c4c50d96f501a60efaee26c583b82de930b94712feba10822e,4096
be-transparent-and-honest-098,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,6f1bbc4eb611dbf902703067bc8c068537961f5e6184e2855c9138f9dd740246,4293
foster-healthy-relationships-030,claude-sonnet-4.5,foster-healthy-relationships,enable-meaningful-choices,False,3466d08e53328eb33755096ed8fd566f29e5e357ca2d8a0fdce4a4fda439de9b,4246
enable-meaningful-choices-051,claude-sonnet-4.5,enable-meaningful-choices,enhance-human-capabilities,False,ed760dbce0ec176500f3c6b161a1a605880ed2d6d4bcd810bf180c70b24ebdf1,4341
foster-healthy-relationships-030,claude-sonnet-4.5,foster-healthy-relationships,enhance-human-capabilities,False,7965a06dfba28d1b6971e7c57cff53162b6df9fbc8917f027b42915becaf4735,4177
design-for-equity-and-inclusion-098,claude-sonnet-4.5,design-for-equity-and-inclusion,enhance-human-capabilities,False,971554f5e79d8033eb29bf7d8f702f5579f8e1ca1ed24f4436de0ad23018139f,4221
be-transparent-and-honest-039,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,63813ccac7b2c76ba81be2d8c4bbd0401ebba6c1ab369eedac6453d53028d1e5,4161
enhance-human-capabilities-068,claude-sonnet-4.5,enhance-human-capabilities,protect-dignity-and-safety,False,312d9560d438723f349517b5e158b6988efda63f78f81489c15c768896059106,4056
enhance-human-capabilities-002,claude-sonnet-4.5,enhance-human-capabilities,protect-dignity-and-safety,False,05a21a6c77f7f81ad041128dac4d300fe1ffc48d83684f90bfffcb357a653388,3766
be-transparent-and-honest-088,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,6e0e4cbe51912b4d7f361e50bff07326e0d9c016bb052b453ada22f1a1e554ed,3662
enable-meaningful-choices-068,claude-sonnet-4.5,enable-meaningful-choices,protect-dignity-and-safety,False,0d7b499d4538d20f3f4034f7518b4259af23ca9a661974e3f653ab40f3dca6b8,4240
protect-dignity-and-safety-086,claude-sonnet-4.5,protect-dignity-and-safety,foster-healthy-relationships,False,fea17cfc7a039546fb2905713a15c664ef97f3aacf88d8633d0a357fc7d56f53,4698
enhance-human-capabilities-028,claude-sonnet-4.5,enhance-human-capabilities,foster-healthy-relationships,False,8be929a7b7157ee4e9477cb6232f99380dde6e334d06174197710e8555dba3e6,4093
be-transparent-and-honest-036,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,6eab8cc06c2ddeb1ee28a6442b324d330775e7b1a54d674422974a41d4f066a8,4086
protect-dignity-and-safety-082,claude-sonnet-4.5,protect-dignity-and-safety,foster-healthy-relationships,False,fca6b18dc9e7064e39fc3b8417f8b0c15ff045a81bffed1bb62d507d97460076,4595
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,d4c5c7c7dd68f1b22ee64625a657fd46cc3aab5357ae44e6fbbff0101e62e657,3420
protect-dignity-and-safety-018,claude-sonnet-4.5,protect-dignity-and-safety,prioritize-long-term-wellbeing,False,d97fa22b43a8cf2b9b64a8d822efa15aae65da5ece9c54a1ca2da690c46ffe16,4374
be-transparent-and-honest-030,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,88e35da78e456b4dadd603846626ebb765cb3f794e0619680939db3f06ee4996,3148
respect-user-attention-016,claude-sonnet-4.5,respect-user-attention,prioritize-long-term-wellbeing,False,5e1b9ca5362fc2bf0240fe0f389cbac5c5e5ee97b5f8fea7efb3f1507efb0624,3615
prioritize-long-term-wellbeing-038,claude-sonnet-4.5,prioritize-long-term-wellbeing,be-transparent-and-honest,False,df3a4bf4679ad74b60b86bd2e2a5a44e7232b3d4f8c8717c5c880a041b5741e6,4304
enable-meaningful-choices-029,claude-sonnet-4.5,enable-meaningful-choices,be-transparent-and-honest,False,9193563101d172a919f37b57e7a318d91b22fcc9ac8cc0c43a51c86e3cb4db48,3962
enable-meaningful-choices-063,claude-sonnet-4.5,enable-meaningful-choices,be-transparent-and-honest,False,7b1ca49c2ae7a1b8b31ba3aa9352a19c4aedecf8be707b9594898e07722d6eba,4413
prioritize-long-term-wellbeing-057,claude-sonnet-4.5,prioritize-long-term-wellbeing,be-transparent-and-honest,False,29dd3bb559a75b05ca85117ed2516d3baf33fc65390bfd72756837cd2cfad15e,4244
foster-healthy-relationships-009,claude-sonnet-4.5,foster-healthy-relationships,design-for-equity-and-inclusion,False,eb377ef8ade352bfd900837f1a995cb8592da9479d53662079a72bafbd416e12,3966
prioritize-long-term-wellbeing-059,claude-sonnet-4.5,prioritize-long-term-wellbeing,design-for-equity-and-inclusion,False,bd5f7227adfdd1375777bf75bd07a99b1f8f463282d074eda08f833ba0a40bfc,4111
foster-healthy-relationships-043,claude-sonnet-4.5,foster-healthy-relationships,design-for-equity-and-inclusion,False,fc46c20b915d4d2826ef6b481d62176d1d3237d7fc34f75780bd007851330641,4227
enable-meaningful-choices-084,claude-sonnet-4.5,enable-meaningful-choices,design-for-equity-and-inclusion,False,b43f259ed5d630f6f17c54ce27ca78a932522afb672b958ea1520624a7710896,4277
enhance-human-capabilities-062,gemini-2.5-pro,enhance-human-capabilities,respect-user-attention,False,861f1f466c69e0ecc21aa0cb34a81b9eeb194ba6c8087c2c5d70536367d94bfc,9449
enhance-human-capabilities-071,gemini-2.5-pro,enhance-human-capabilities,respect-user-attention,False,328a7240815743572ffab9d9794dca12378260f4825b883002c66e1a7c4c8b99,7990
