scenario_id,source_model,designed_principle,scored_principle,is_diagonal,expected_judge_prompt_sha256,expected_judge_prompt_chars
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,fd8c8e37e37c9838651d793a737ae67f1abde772ef5a753a2b8dd9c41ee42435,3125
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,4ae37c75f9e8a383ba886ca55c21d1a91abeb2e71e560ca47d65ec4b0a74eeab,3072
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,c1a2932e7f91b1cea8b716759b006b3ed9106847cc4ad506a5c32606a631bf97,3003
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,ccf433104f9fc3d95a4da4fbd8e584dfaae1d2a041ceeeea25e5e449292dfdfb,3117
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,0651d2ed05171bcde664b9961336ceada493a27afa0ffee35d1f80df686d0cd7,3288
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,6fa9e949b01fc3e271ee61c43267b1fb30fe7083307779bef8576a1d75343a67,2952
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,be-transparent-and-honest,True,23100c4fe96930de6d49fe6187818f2cef0d1e8ce3f7632b76112793d123b6f7,3072
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,design-for-equity-and-inclusion,False,033bd93cf5393a69e9107f44a55f988142f4b4df0cc10618f123e4ab64b8c3d3,3073
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,f341e2c73d312188b0773194ba40bbecd028f977760e5ebb318add65c22ea7c3,2890
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,43ce25545bc5bccaa22db1b15ee56165b6990ba2212661eb4d1fb6e4ffdebdd3,2837
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,503b364d4679d711a5a7e35f32322b07f3a03146d88d2af00b245329768dacda,2768
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,306c86fa96f6aa24d7fb3c214d2630deded4c54c52582a91f83fa3baa4a80268,2882
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,2b3b6519570a6b8372a18b81589ced7d685bc78f71e6f008036768cea50c821b,3053
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,62157723c6049e7bf4d8c55310cf3a20d25b265221a00284e2119824bcc17e48,2717
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,be-transparent-and-honest,True,1a449d7a0fe0b80511a4d381e1d43a1a4fd6188714da909ac13d2b47b4c397ac,2837
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,design-for-equity-and-inclusion,False,aab09dc923c1fe30c3716fe5009966adf06bb6c5f2489bcfce3871e443054b35,2838
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,84dc59ab72c3aa5745f84c3d35270b05b79b21fe3ecef410a27c82f090742b1a,3513
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,13e0830078f1927e08629095eaf214ce40c0fab5348d331f372bbf24f11f4905,3460
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,34e0b38b4a0407f8508d2ea4122c07b6c7512d64656929d3b3ca751678a87737,3391
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,932d18dcb7daaae3cb2a1fda6e9e0b398802a1ca56dd3f8f55afd4bf25968ff7,3505
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,e88e529b170a0f4891a9fb189cf8cc8238a5bda02c55acb935fe6b22ecbd7301,3676
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,ba0df328ecf727a38cfd13b8b01870842a5bbe7d82cf33dd50ea825e24768b79,3340
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,be-transparent-and-honest,True,7a57e7c2abb6989058045fb2972cb0383747eade9671b238f0228efb993bbd0e,3460
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,design-for-equity-and-inclusion,False,03f9dc92f5efd571d8dc6b5acefe767ddc0a1c24518da2f97d75e549ebb27451,3461
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,f283915956423b2bf3bd90bc3506cfb4039f70c6a603cee68e5357c66c63f4a4,3401
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,fb68d5fc3bd25cd5998320c1edc0599e764f2cb5bd151de86c1653c0e91e63a4,3348
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,1e0fa2f77954566b4ef56bdb9be1a0858e65509be345bdccf62e25ae21e5b218,3279
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,586c6ba607db877d163426f32e4477207146a5d89c8c63ddb609ed8db655d17c,3393
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,ed7b984449427b4282a515018ae0a28debd7ee85171fe4b83133b8f86000f6a2,3564
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,6f9232126078e8d409fa293727c5ffef3c4d0dabc4d179e733c75d5e5fb70fb6,3228
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,be-transparent-and-honest,True,c716135d0aabc7619b17332e5cd1228cdd87ea2859f999d08a68833f113f2a6a,3348
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,design-for-equity-and-inclusion,False,62c11ea1d63db91eacf0b705ce831ca42bc3cc1b5a05f2bf945f732e828109e7,3349
be-transparent-and-honest-030,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,86add22f88fe3aa500c117cb79ab3b98ee8b66ca015a228393a9040c4545d617,2618
be-transparent-and-honest-030,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,78cb5f02b1f6b4d578f234ad44eb395f3a3b90f2cc15912136b57bd706fd7c52,2565
be-transparent-and-honest-030,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,17bbd91a55d6ceffee54a67df5588bb89fa58e673ae6f2d89243f0515d6ca124,2496
be-transparent-and-honest-030,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,a691b5deb397f5157497782bcd8b964b46c50d82e0214738213f2bb1f6b3ad6d,2610
be-transparent-and-honest-030,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,254004ab9d1622e93395d97a2d382b308d1e9e739d462460c0032adaee7b7475,2781
