persona,model,n_scenarios,shortfall_vs_788
bad_persona,claude-opus-4.1,788,0
bad_persona,claude-sonnet-4,787,1
bad_persona,claude-sonnet-4.5,788,0
bad_persona,deepseek-v3.1-terminus,787,1
bad_persona,gemini-2.0-flash-001,788,0
bad_persona,gemini-2.5-flash,788,0
bad_persona,gemini-2.5-pro,787,1
bad_persona,gemini-3-pro-preview,788,0
bad_persona,gpt-4.1,787,1
bad_persona,gpt-4o-2024-11-20,788,0
bad_persona,gpt-5,786,2
bad_persona,gpt-5.1,787,1
bad_persona,grok-4,785,3
bad_persona,llama-3.1-405b-instruct,787,1
bad_persona,llama-4-maverick,787,1
baseline,claude-opus-4.1,787,1
baseline,claude-sonnet-4,788,0
baseline,claude-sonnet-4.5,788,0
baseline,deepseek-v3.1-terminus,788,0
baseline,gemini-2.0-flash-001,788,0
baseline,gemini-2.5-flash,788,0
baseline,gemini-2.5-pro,788,0
baseline,gemini-3-pro-preview,788,0
baseline,gpt-4.1,788,0
baseline,gpt-4o-2024-11-20,786,2
baseline,gpt-5,788,0
baseline,gpt-5.1,788,0
baseline,grok-4,788,0
baseline,llama-3.1-405b-instruct,787,1
baseline,llama-4-maverick,786,2
good_persona,claude-opus-4.1,785,3
good_persona,claude-sonnet-4,787,1
good_persona,claude-sonnet-4.5,788,0
good_persona,deepseek-v3.1-terminus,785,3
good_persona,gemini-2.0-flash-001,784,4
good_persona,gemini-2.5-flash,782,6
good_persona,gemini-2.5-pro,787,1
good_persona,gemini-3-pro-preview,788,0
good_persona,gpt-4.1,788,0
good_persona,gpt-4o-2024-11-20,788,0
good_persona,gpt-5,788,0
good_persona,gpt-5.1,787,1
good_persona,grok-4,787,1
good_persona,llama-3.1-405b-instruct,784,4
good_persona,llama-4-maverick,786,2
