model,config,persona,humane_score,ci_lower,ci_upper
claude-opus-4.1,ensemble3,baseline,0.6813378197785414,0.6583394485013362,0.7060312559660176
claude-sonnet-4,ensemble3,baseline,0.69088529856387,0.6646960388321995,0.7169990315570672
claude-sonnet-4.5,ensemble3,baseline,0.7548899281934996,0.7314388936130009,0.7780553311602418
deepseek-v3.1-terminus,ensemble3,baseline,0.7512859032501891,0.7295845497921392,0.7721944326341648
gemini-2.0-flash-001,ensemble3,baseline,0.748989984882842,0.7265663737717308,0.7703836451247166
gemini-2.5-flash,ensemble3,baseline,0.7203722600151172,0.6967250330687831,0.7439258904950868
gemini-2.5-pro,ensemble3,baseline,0.7625396825396826,0.7410238095238094,0.7852161517384731
gemini-3-pro-preview,ensemble3,baseline,0.7826686507936508,0.7585828373015874,0.8055390329743007
gpt-4.1,ensemble3,baseline,0.6676554232804233,0.6435922028533636,0.6934187098450492
gpt-4o-2024-11-20,ensemble3,baseline,0.6812141396962825,0.6582881976654298,0.7068687298151584
gpt-5,ensemble3,baseline,0.8618570483749055,0.8455660903250188,0.8771242441421012
gpt-5.1,ensemble3,baseline,0.8647921390778534,0.8488728977702192,0.8796744496409675
grok-4,ensemble3,baseline,0.6870148337112623,0.6658009849773243,0.7087986819727891
llama-3.1-405b-instruct,ensemble3,baseline,0.5575891568748712,0.5296019205662063,0.585464380196523
llama-4-maverick,ensemble3,baseline,0.5918683831441562,0.5665535309061405,0.6159886087030095
claude-opus-4.1,ensemble3,good_persona,0.8422421493850065,0.8263027608139215,0.8591625438054009
claude-sonnet-4,ensemble3,good_persona,0.8445124716553287,0.8277571870920085,0.8598557202552738
claude-sonnet-4.5,ensemble3,good_persona,0.8894331065759638,0.8747988473167043,0.9040504771352985
deepseek-v3.1-terminus,ensemble3,good_persona,0.8409783538272124,0.824467802377251,0.8572718534005813
gemini-2.0-flash-001,ensemble3,good_persona,0.8202695105820106,0.8008230775817272,0.8394567817578421
gemini-2.5-flash,ensemble3,good_persona,0.7680126598892707,0.747468625527179,0.7883975715461098
gemini-2.5-pro,ensemble3,good_persona,0.9037661478732907,0.8891800391242356,0.9177817170428777
gemini-3-pro-preview,ensemble3,good_persona,0.9280787037037037,0.9161487859032502,0.9392925406273622
gpt-4.1,ensemble3,good_persona,0.8210312736205593,0.8034029195011338,0.8372014006991687
gpt-4o-2024-11-20,ensemble3,good_persona,0.7738964474678761,0.7547585506424791,0.7936308460884354
gpt-5,ensemble3,good_persona,0.9391558012093726,0.9279121905706728,0.9488495252267573
gpt-5.1,ensemble3,good_persona,0.9172761200439772,0.9045800307496736,0.9286009263553906
grok-4,ensemble3,good_persona,0.8929885634028892,0.8776163473113964,0.908576654819231
llama-3.1-405b-instruct,ensemble3,good_persona,0.6721400226757369,0.6465209765329742,0.697523759330121
llama-4-maverick,ensemble3,good_persona,0.6540896636432351,0.627852737622827,0.679408517573696
claude-opus-4.1,ensemble3,bad_persona,0.6621338813303099,0.6296492346938776,0.6962249858276645
claude-sonnet-4,ensemble3,bad_persona,0.5004340599876314,0.46550025016319657,0.5339347353208961
claude-sonnet-4.5,ensemble3,bad_persona,0.7712348828420257,0.7477392290249433,0.7939313114134543
deepseek-v3.1-terminus,ensemble3,bad_persona,-0.35599489795918365,-0.3844650716347145,-0.32892716600529104
gemini-2.0-flash-001,ensemble3,bad_persona,-0.7061725245653817,-0.7217958356953892,-0.6899831939720332
gemini-2.5-flash,ensemble3,bad_persona,-0.6809065570672714,-0.6943899045729403,-0.6653257983749054
gemini-2.5-pro,ensemble3,bad_persona,-0.7210699254449255,-0.7395538280337388,-0.7028661390692641
gemini-3-pro-preview,ensemble3,bad_persona,-0.4509382086167801,-0.5085051374716554,-0.39578567885487526
gpt-4.1,ensemble3,bad_persona,-0.6078905354276541,-0.6296443129920507,-0.584246678657418
gpt-4o-2024-11-20,ensemble3,bad_persona,-0.609150604686319,-0.6241414635298563,-0.5927757227891156
gpt-5,ensemble3,bad_persona,0.8279851662887378,0.8081817365835222,0.8472699593726379
gpt-5.1,ensemble3,bad_persona,0.8254468580361438,0.8057350578488971,0.8430895670136743
grok-4,ensemble3,bad_persona,-0.7264066687280972,-0.7393523049371264,-0.7121033184738542
llama-3.1-405b-instruct,ensemble3,bad_persona,-0.48669479660551085,-0.511780383554937,-0.46186125820277607
llama-4-maverick,ensemble3,bad_persona,-0.13883271490414348,-0.17081549659005016,-0.10436034881124163
claude-opus-4.1,claude_only,baseline,0.6357595933562428,0.6076028959049254,0.6644617697594501
claude-sonnet-4,claude_only,baseline,0.6500694444444444,0.6212070223922902,0.6778690830498867
claude-sonnet-4.5,claude_only,baseline,0.6993551587301587,0.6726464356575963,0.7287544997165533
deepseek-v3.1-terminus,claude_only,baseline,0.6774900793650793,0.6507805413832201,0.7033536352040817
gemini-2.0-flash-001,claude_only,baseline,0.6888718820861679,0.6621618126417232,0.7142072704081633
gemini-2.5-flash,claude_only,baseline,0.6456179138321996,0.617251523526077,0.6727586096938776
gemini-2.5-pro,claude_only,baseline,0.6865561224489796,0.6586853741496598,0.7141684027777778
gemini-3-pro-preview,claude_only,baseline,0.7412868480725623,0.7102883361678004,0.7702381306689342
gpt-4.1,claude_only,baseline,0.6135742630385488,0.5853986678004535,0.6426493055555557
gpt-4o-2024-11-20,claude_only,baseline,0.5942233560090703,0.5662570056431664,0.6264636705060811
gpt-5,claude_only,baseline,0.8377494331065759,0.8163295068027211,0.8601266298185941
gpt-5.1,claude_only,baseline,0.8291836734693878,0.8079585459183674,0.8479604591836735
grok-4,claude_only,baseline,0.6367602040816327,0.6112143211451246,0.6617224702380953
llama-3.1-405b-instruct,claude_only,baseline,0.49959222325293756,0.46663598678107604,0.5289954004329004
llama-4-maverick,claude_only,baseline,0.5438301832760596,0.5130890249140894,0.5727164476595856
claude-opus-4.1,claude_only,good_persona,0.812319882498454,0.7889286680581324,0.8351403673211709
claude-sonnet-4,claude_only,good_persona,0.814928107606679,0.7906265428519893,0.8375069218975468
claude-sonnet-4.5,claude_only,good_persona,0.8775992063492064,0.8564724702380951,0.9001819019274376
deepseek-v3.1-terminus,claude_only,good_persona,0.8163483297098908,0.791771952509526,0.8415526242928443
gemini-2.0-flash-001,claude_only,good_persona,0.8052712230725623,0.7806243356717688,0.8288093333687643
gemini-2.5-flash,claude_only,good_persona,0.7398020963500989,0.7125116636321331,0.7649325904421144
gemini-2.5-pro,claude_only,good_persona,0.9226421098742528,0.9043346797052155,0.9403392985982272
gemini-3-pro-preview,claude_only,good_persona,0.9321513605442177,0.9158158659297051,0.9478091340702948
gpt-4.1,claude_only,good_persona,0.801921768707483,0.7759386692176872,0.8260345450680273
gpt-4o-2024-11-20,claude_only,good_persona,0.7649603174603175,0.7404080215419501,0.7932708333333334
gpt-5,claude_only,good_persona,0.9235657596371882,0.9047840844671201,0.9404235756802722
gpt-5.1,claude_only,good_persona,0.8834007163471449,0.8628800537260359,0.9010086193568336
