judge,own_family,own_model,scope,value,ci_lower,ci_upper,ci_excludes_zero
claude-4.5-sonnet,anthropic,claude-sonnet-4.5,rel_own_family,-0.09638724244990121,-0.11500404108747003,-0.07848795200115112,True
claude-4.5-sonnet,anthropic,claude-sonnet-4.5,rel_own_generation,-0.10892554991539763,-0.13029557952622675,-0.08882455583756346,True
claude-4.5-sonnet,anthropic,claude-sonnet-4.5,rel_baseline_rest,-0.07604129897635016,-0.08736676997449272,-0.06503746352747476,True
claude-4.5-sonnet,anthropic,claude-sonnet-4.5,did_family,-0.02034594347355105,-0.032865449793019856,-0.009067822914507332,True
claude-4.5-sonnet,anthropic,claude-sonnet-4.5,did_own_generation,-0.03288425093904747,-0.05183917749370212,-0.016191683158623477,True
gpt-5.1,openai,gpt-5.1,rel_own_family,-0.03950153455392105,-0.05337551203496037,-0.02623803337627272,True
gpt-5.1,openai,gpt-5.1,rel_own_generation,-0.04752328535139712,-0.06411341515023275,-0.03153577476714649,True
gpt-5.1,openai,gpt-5.1,rel_baseline_rest,-0.022336041899333768,-0.03554891935100418,-0.009749787451066722,True
gpt-5.1,openai,gpt-5.1,did_family,-0.017165492654587285,-0.026798427074333827,-0.007507751065960781,True
gpt-5.1,openai,gpt-5.1,did_own_generation,-0.02518724345206335,-0.040438001041485594,-0.008599515719264332,True
gemini-2.5-pro,google,gemini-2.5-pro,rel_own_family,0.06374417619652689,0.05276840148327053,0.0748431871796035,True
gemini-2.5-pro,google,gemini-2.5-pro,rel_own_generation,0.05874259102455546,0.043500809876579484,0.07490663374048447,True
gemini-2.5-pro,google,gemini-2.5-pro,rel_baseline_rest,0.12276682581241337,0.11304890369188302,0.13353953066893062,True
gemini-2.5-pro,google,gemini-2.5-pro,did_family,-0.05902264961588648,-0.06766715465372719,-0.05024308922381264,True
gemini-2.5-pro,google,gemini-2.5-pro,did_own_generation,-0.0640242347878579,-0.07794958359578796,-0.04984267134666806,True
