scenario_id,source_model,designed_principle,scored_principle,is_diagonal,expected_judge_prompt_sha256,expected_judge_prompt_chars
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,5276d3743641c248f057121770e22a2a0cad211d72fc1a1728261ea8319030e8,3828
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,d266f4c5eef062dcac2938db6c160f61c374c5c8608d94b7d3510b3bf23d275c,3775
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,911df7eb7b59956583de237967ba39bed157b129aa4424ef70a3125e9eda7915,3706
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,f1702c5bf1e2872f616d213ffd09436e3716b55b8d4c16f3687ffee854aeaef7,3820
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,91b72a6a609637dda540dfe0389f0c3e920a0cebfb4dacac1618a576c5a6a857,3991
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,b905a833b68cbc8bd02caf2dfec8d93b4bc9525e7777b9cd5ae86e44751875b1,3655
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,be-transparent-and-honest,True,f14fbf1114665d17c01bd9191e7d8b63a86eb9f43a07a8a2f348f058fb40f880,3775
be-transparent-and-honest-005,claude-sonnet-4.5,be-transparent-and-honest,design-for-equity-and-inclusion,False,33878f85a53a2c15d07fff1cce24a5cc71d17a3f88a81ee044bda2a8a2d6cd2a,3776
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,13cdd95cf9efda2a2e6aea9401b39b4573fc2a5ac0147b8b8cd839ae5699ca95,3593
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,f923a62c0f56dbf38a18d379a97ff2a1dded6bacb778a9da382afb8c48b07178,3540
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,d1ab2d747e92536bbb0587fdd26d3112cc6a7da0a2bef92aa5fc523d3797e319,3471
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,69300f6809de1b9a69841a4a71ced9a420eb9c1662225d932b0e04e5ceddcd1b,3585
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,d349f038dff152435f8d7d44023d1bc9b9f1168048821da1e23d96492409e002,3756
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,d4c5c7c7dd68f1b22ee64625a657fd46cc3aab5357ae44e6fbbff0101e62e657,3420
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,be-transparent-and-honest,True,5ef20d2488468253f800915a3b2f22a9a46f2811ee1ac9d74c085eb5e061656d,3540
be-transparent-and-honest-020,claude-sonnet-4.5,be-transparent-and-honest,design-for-equity-and-inclusion,False,2a0e3507d23ccd692c865eb3ac032a90ea777ca9eacfd5d97c33337d82d5986e,3541
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,c1c887f726fdc600b9fcc5bb9d9f208fef8a48f4f67b81c2b180e422ef2adf55,4216
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,2046659b102ea75f8559f2645f50b75de6592efbeb2396e31cc3dd1e84347614,4163
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,bb34368a2e62c7feb6272743f9c1aabc96b869b83c0a4f35986ce7f15c068702,4094
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,0b6233f44a5907f999390a4281cb1fc83b93de495b6e1f603e420ea7b34ab3a6,4208
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,77e5aecb1ea8f569cd9cdf41d434e1bdabbccdd6a2357ec8032e8e04260998ec,4379
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,0bbd8972baed635b4dbc2e7c5fa936671ce735742f0488b2f6b139e71273249e,4043
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,be-transparent-and-honest,True,636e6d0de843d707bbbd8ad78ac7ea9938e10b1bdb9b827925c8b5acea7d66c2,4163
be-transparent-and-honest-025,claude-sonnet-4.5,be-transparent-and-honest,design-for-equity-and-inclusion,False,66d74389a3914699e4f7d8ad7d332b16f39d17599c5b22d45b37690d8419cdfd,4164
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,6a3c00428cdaa5a89cd18195dcafa1247733a1dffda8004fd2ae819432ffb077,4104
be-transparent-and-honest-029,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,4781039d5fd37e7a459f3a27d5d004cc9e8cae1f524ea7612937fcd6d3ab9e16,4051
