scenario_id,source_model,designed_principle,scored_principle,is_diagonal,expected_judge_prompt_sha256,expected_judge_prompt_chars
be-transparent-and-honest-010,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,48b5d395e1641050503855184b68e6dd3e3cff264c14a235cf70a8b2064595a9,3750
be-transparent-and-honest-010,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,08a32b3003a87f9527a5d7bb13380bf57f511cfdc3b389e50c58d84a5ac2dea5,3697
be-transparent-and-honest-010,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,8f655c2f1af1e345dd0dfd340fc2ac6f3eef028540935f502ff7f48e90a61be7,3628
be-transparent-and-honest-010,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,efeab029ce4eef8dad89161372f745209fd7d9c36c9492ceca16b220c2214134,3742
be-transparent-and-honest-010,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,9ee001c7da786ad3a1cdba4701d010bff6b74612308d81f0285790642194267b,3913
be-transparent-and-honest-010,claude-sonnet-4.5,be-transparent-and-honest,prioritize-long-term-wellbeing,False,61b94c9853650101ebe368ab7cf9c522ea9a385a4aab5e247d51b01135e5eb77,3577
be-transparent-and-honest-010,claude-sonnet-4.5,be-transparent-and-honest,be-transparent-and-honest,True,e750c40757f02c8e9e27fd65c8f11416bb829c0f818a068eb1e73853cb3c6a7c,3697
be-transparent-and-honest-010,claude-sonnet-4.5,be-transparent-and-honest,design-for-equity-and-inclusion,False,566326ba2d44e00e56abfdbbb7869e55444cb7b5eb871f30a3178b8fcf88a08a,3698
be-transparent-and-honest-012,claude-sonnet-4.5,be-transparent-and-honest,respect-user-attention,False,60cde3126daae5a802808bb3065226b93905cc3dbd5a52359bc542ab88078fcb,3960
be-transparent-and-honest-012,claude-sonnet-4.5,be-transparent-and-honest,enable-meaningful-choices,False,a1bbe98f808cc5de69b3266b91164ee9696dd79a91ad7246426d70abae6a2b55,3907
be-transparent-and-honest-012,claude-sonnet-4.5,be-transparent-and-honest,enhance-human-capabilities,False,082bcf75831cd9a0f816523a82b8ee4713b128f634e3312a4d48c69353f7f7d3,3838
be-transparent-and-honest-012,claude-sonnet-4.5,be-transparent-and-honest,protect-dignity-and-safety,False,d2fb37e22ea61b865e629245be4d5ad6130681e2451473e65adaf3106a8ba7b0,3952
be-transparent-and-honest-012,claude-sonnet-4.5,be-transparent-and-honest,foster-healthy-relationships,False,d5baa87ead0e9c8ca26f7bf83f574fa7a2be472197506a42eeba697e9b5f2392,4123
